Days,dd/mm/yyyy,WBHP:OP_1,WBHP:OP_2,WBHP:OP_3,WBHP:OP_4,WBHP:OP_5,FOPR,FGPR,FWPR,FGIR,FWIR
62.00,01/02/2000,240.179,137.107,216.476,0,0,24017.8,4.0842e+06,4.83975,0,0
91.00,01/03/2000,231.435,135.91,206.624,0,0,23270.8,3.84997e+06,4.93837,0,0
122.00,01/04/2000,223.526,131.555,203.425,0,0,22124.1,3.55716e+06,4.97974,0,8151.11
152.00,01/05/2000,216.585,128.441,206.362,0,0,19830.7,3.14205e+06,5.05476,0,7644.74
183.00,01/06/2000,208.292,138.147,194.954,0,0,20327.1,3.17224e+06,5.17467,0,13994.2
213.00,01/07/2000,203.172,122.676,189.619,0,0,22829.6,3.57824e+06,6.01971,0,8392.42
244.00,01/08/2000,205.196,125.547,180.2,0,0,21895.1,3.46353e+06,5.47753,0,19002.6
275.00,01/09/2000,204.794,133.131,175.578,0,0,20124.4,3.24737e+06,5.27338,0,25779.1
305.00,01/10/2000,202.894,125.857,171.641,0,0,22607.3,3.74241e+06,6.03044,0,22354.1
336.00,01/11/2000,198.638,122.11,171.451,0,0,22713.6,3.858e+06,6.28497,0,26020.7
366.00,01/12/2000,205.997,120.345,170.995,0,0,18591.6,3.05559e+06,3.37432,0,29363.7
397.00,01/01/2001,201.05,120.766,170.632,0,0,21753.3,3.60469e+06,5.62641,0,25301.6
428.00,01/02/2001,199.941,130.797,168.85,190.647,181.335,27946.6,5.4328e+06,6.71651,0,32651.3
456.00,01/03/2001,197.641,117.468,172.786,176.121,178.38,30497.2,5.95159e+06,10.0155,0,28178.8
487.00,01/04/2001,196.822,128.628,168.695,180.944,170.775,24953.9,5.34487e+06,8.61094,0,33729.2
517.00,01/05/2001,195.704,131.033,166.311,183.584,164.275,27588.5,5.91885e+06,10.1674,0,53034.6
548.00,01/06/2001,193.633,139.207,169.048,168.48,156.719,29942.3,6.31304e+06,384.936,0,44379.7
578.00,01/07/2001,192.218,143.761,165.014,164.284,161.443,27915.9,5.5793e+06,726.066,0,44096
609.00,01/08/2001,191.008,150.443,166.344,164.054,148.42,28593.4,5.65556e+06,1036.59,0,52238.5
640.00,01/09/2001,189.453,144.506,169.535,175.92,144.731,24862.2,4.79613e+06,712.907,0,40341.2
670.00,01/10/2001,188.102,148.806,157.118,168.316,143.712,30247.5,5.70144e+06,1578.13,0,50827.2
701.00,01/11/2001,186.785,145.412,154.623,180.129,153.174,27213.5,4.93587e+06,1154.88,0,47569.6
731.00,01/12/2001,185.539,134.221,162.732,173.339,158.71,26310.1,4.43117e+06,2367.98,0,45893.8
762.00,01/01/2002,183.787,147.712,155.628,169.274,161.765,26923.2,4.47043e+06,2423.13,0,36519.5
793.00,01/02/2002,182.765,124.805,164.928,169.454,164.124,24185.3,4.00595e+06,2909.22,0,36385.3
821.00,01/03/2002,183.231,123.284,159.472,174.235,167.734,26174.8,4.24524e+06,3537.1,0,50995.9
852.00,01/04/2002,183.248,122.1,161.736,176.176,168.489,25392.1,3.98042e+06,4040.44,0,42736.5
882.00,01/05/2002,182.803,113.95,161.164,172.006,169.261,24988.4,3.86937e+06,4428.8,0,31279
913.00,01/06/2002,182.428,118.707,170.361,174.169,173.458,20912.5,3.19584e+06,4871.78,0,41410.9
943.00,01/07/2002,181.463,126.577,172.691,175.908,175.668,19225.5,2.89754e+06,4969.51,0,38690.2
974.00,01/08/2002,180.653,127.877,164.471,175.226,172.507,21259.8,3.16674e+06,5007.66,0,34270.9
1005.00,01/09/2002,179.134,115.572,163.897,176.759,171.26,21955,3.32737e+06,6923.78,0,39720.7
1035.00,01/10/2002,178.488,118.227,164.417,186.595,179.21,18504.1,2.75473e+06,6418.52,0,37536.3
1066.00,01/11/2002,178.746,120.313,179.629,178.647,174.762,17642.4,2.65537e+06,8386.21,0,40934.9
1096.00,01/12/2002,180.145,122.245,173.246,178.702,179.516,18169.3,2.68897e+06,8988.34,0,40965.9
1127.00,01/01/2003,189.839,129.861,169.254,185.926,180.542,14706.1,2.12451e+06,5644.47,0,29846.7
